segment,id,model,persona,dimension,response
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,conservative,harm,3.0
agreement,1,llama3.1:8b,moderate,harm,3.0
agreement,1,llama3.1:8b,moderate,harm,3.0
agreement,1,llama3.1:8b,moderate,harm,3.0
agreement,1,llama3.1:8b,moderate,harm,3.0
