persona,model,authority,care,equality,loyalty,proportionality,purity
Argentina,llama3.1:8b,3.80 (± 1.24),4.84 (± 0.39),3.38 (± 1.28),4.70 (± 0.55),4.37 (± 0.98),3.59 (± 1.41)
Argentina,mistral:7b,2.10 (± 1.63),2.33 (± 1.72),2.70 (± 1.86),2.61 (± 1.59),2.22 (± 1.72),2.49 (± 1.84)
Argentina,qwen2.5:72b,3.98 (± 0.31),4.64 (± 0.49),3.23 (± 0.44),4.16 (± 0.36),4.11 (± 0.32),3.36 (± 0.84)
Argentina,llama3.3:70b,4.47 (± 0.50),5.00 (± 0.00),3.02 (± 1.04),5.00 (± 0.00),4.67 (± 0.47),2.97 (± 1.00)
Argentina,mistral-large:123b,3.96 (± 0.60),4.32 (± 0.59),3.69 (± 0.77),4.21 (± 0.61),4.05 (± 0.67),3.46 (± 0.75)
Argentina,qwen2.5:7b,3.63 (± 0.51),4.30 (± 0.61),3.07 (± 0.71),3.55 (± 0.56),3.87 (± 0.51),3.15 (± 0.81)
Belgium,llama3.1:8b,3.87 (± 1.15),4.77 (± 0.49),3.45 (± 1.29),4.49 (± 0.65),4.19 (± 1.08),3.54 (± 1.36)
Belgium,mistral:7b,2.15 (± 1.63),2.66 (± 1.66),2.79 (± 1.80),3.11 (± 1.70),2.00 (± 1.65),1.78 (± 1.44)
Belgium,qwen2.5:72b,3.84 (± 0.40),4.57 (± 0.50),3.28 (± 0.47),4.06 (± 0.25),4.03 (± 0.24),3.32 (± 0.77)
Belgium,llama3.3:70b,4.03 (± 0.36),5.00 (± 0.00),3.17 (± 0.98),4.73 (± 0.44),4.64 (± 0.48),2.94 (± 0.99)
Belgium,mistral-large:123b,3.69 (± 0.79),4.21 (± 0.67),3.34 (± 0.81),3.84 (± 0.64),3.93 (± 0.64),3.22 (± 0.72)
Belgium,qwen2.5:7b,3.68 (± 0.50),4.09 (± 0.55),3.08 (± 0.67),3.39 (± 0.57),3.90 (± 0.54),3.17 (± 0.87)
Chile,llama3.1:8b,3.85 (± 1.29),4.86 (± 0.41),3.27 (± 1.36),4.67 (± 0.53),4.45 (± 0.92),3.63 (± 1.39)
Chile,mistral:7b,2.31 (± 1.77),2.18 (± 1.54),2.27 (± 1.58),2.81 (± 1.63),2.11 (± 1.69),1.84 (± 1.49)
Chile,qwen2.5:72b,3.91 (± 0.37),4.59 (± 0.49),3.20 (± 0.46),4.17 (± 0.37),4.11 (± 0.32),3.34 (± 0.82)
Chile,llama3.3:70b,4.43 (± 0.50),5.00 (± 0.00),2.99 (± 1.03),4.85 (± 0.36),4.67 (± 0.47),3.12 (± 1.14)
Chile,mistral-large:123b,3.86 (± 0.72),4.33 (± 0.71),3.71 (± 0.72),4.12 (± 0.67),4.08 (± 0.58),3.49 (± 0.80)
Chile,qwen2.5:7b,3.47 (± 0.52),4.26 (± 0.65),3.03 (± 0.63),3.45 (± 0.58),3.75 (± 0.61),3.12 (± 0.81)
Colombia,llama3.1:8b,4.14 (± 1.00),4.80 (± 0.49),3.30 (± 1.40),4.61 (± 0.59),4.33 (± 1.02),3.67 (± 1.34)
Colombia,mistral:7b,2.49 (± 1.76),2.25 (± 1.73),3.13 (± 1.80),3.05 (± 1.68),1.60 (± 1.18),2.71 (± 1.81)
Colombia,qwen2.5:72b,4.09 (± 0.38),4.68 (± 0.47),3.18 (± 0.44),4.27 (± 0.45),4.21 (± 0.41),3.46 (± 0.81)
Colombia,llama3.3:70b,4.49 (± 0.50),5.00 (± 0.00),2.96 (± 1.00),4.85 (± 0.36),4.67 (± 0.47),3.26 (± 1.13)
Colombia,mistral-large:123b,4.05 (± 0.65),4.36 (± 0.69),3.65 (± 0.74),4.31 (± 0.54),4.06 (± 0.52),3.72 (± 0.76)
Colombia,qwen2.5:7b,3.74 (± 0.48),4.16 (± 0.60),3.07 (± 0.65),3.55 (± 0.58),3.89 (± 0.58),3.26 (± 0.89)
Egypt,llama3.1:8b,4.35 (± 0.84),4.83 (± 0.42),3.34 (± 1.34),4.70 (± 0.54),4.44 (± 0.92),4.04 (± 1.20)
Egypt,mistral:7b,2.18 (± 1.49),2.08 (± 1.57),2.84 (± 1.76),3.37 (± 1.55),2.03 (± 1.66),1.62 (± 1.25)
Egypt,qwen2.5:72b,4.26 (± 0.45),4.67 (± 0.47),3.19 (± 0.41),4.36 (± 0.49),4.16 (± 0.37),3.59 (± 0.88)
Egypt,llama3.3:70b,4.79 (± 0.41),5.00 (± 0.00),2.84 (± 0.98),4.84 (± 0.36),4.67 (± 0.47),4.02 (± 1.01)
Egypt,mistral-large:123b,4.21 (± 0.61),4.40 (± 0.64),3.54 (± 0.78),4.36 (± 0.68),4.11 (± 0.68),3.98 (± 0.74)
Egypt,qwen2.5:7b,3.80 (± 0.51),4.28 (± 0.56),3.06 (± 0.63),3.75 (± 0.57),3.88 (± 0.56),3.23 (± 0.86)
France,llama3.1:8b,3.98 (± 1.10),4.88 (± 0.36),3.46 (± 1.36),4.64 (± 0.56),4.45 (± 0.86),3.79 (± 1.35)
France,mistral:7b,2.36 (± 1.59),2.10 (± 1.62),2.06 (± 1.51),2.94 (± 1.61),2.00 (± 1.63),2.07 (± 1.62)
France,qwen2.5:72b,3.85 (± 0.40),4.62 (± 0.49),3.31 (± 0.48),4.07 (± 0.26),4.05 (± 0.28),3.22 (± 0.91)
France,llama3.3:70b,4.26 (± 0.58),5.00 (± 0.00),3.05 (± 1.05),4.84 (± 0.37),4.67 (± 0.47),3.01 (± 1.03)
France,mistral-large:123b,3.73 (± 0.67),4.20 (± 0.67),3.44 (± 0.76),4.00 (± 0.64),3.98 (± 0.64),3.29 (± 0.84)
France,qwen2.5:7b,3.54 (± 0.50),4.17 (± 0.58),2.97 (± 0.69),3.44 (± 0.61),3.74 (± 0.56),3.16 (± 0.76)
Ireland,llama3.1:8b,3.97 (± 1.25),4.88 (± 0.38),3.67 (± 1.31),4.76 (± 0.46),4.35 (± 1.07),4.00 (± 1.23)
Ireland,mistral:7b,2.17 (± 1.70),1.73 (± 1.38),2.52 (± 1.77),3.64 (± 1.48),1.92 (± 1.64),1.81 (± 1.51)
Ireland,qwen2.5:72b,3.84 (± 0.42),4.60 (± 0.49),3.22 (± 0.42),4.10 (± 0.30),4.06 (± 0.25),3.30 (± 0.84)
Ireland,llama3.3:70b,4.33 (± 0.48),5.00 (± 0.00),3.12 (± 0.99),5.00 (± 0.00),4.65 (± 0.48),3.46 (± 1.09)
Ireland,mistral-large:123b,3.71 (± 0.73),4.27 (± 0.66),3.38 (± 0.81),3.96 (± 0.57),3.98 (± 0.70),3.48 (± 0.83)
Ireland,qwen2.5:7b,3.46 (± 0.55),4.18 (± 0.71),3.05 (± 0.59),3.36 (± 0.64),3.79 (± 0.66),3.13 (± 0.79)
Japan,llama3.1:8b,4.58 (± 0.62),4.83 (± 0.50),3.14 (± 1.35),4.67 (± 0.53),4.31 (± 1.01),3.94 (± 1.25)
Japan,mistral:7b,2.02 (± 1.55),2.19 (± 1.58),2.63 (± 1.87),3.10 (± 1.67),2.03 (± 1.66),2.14 (± 1.58)
Japan,qwen2.5:72b,4.26 (± 0.47),4.69 (± 0.46),3.12 (± 0.45),4.24 (± 0.43),4.14 (± 0.38),3.44 (± 0.82)
Japan,llama3.3:70b,4.83 (± 0.37),5.00 (± 0.00),3.06 (± 0.97),4.99 (± 0.08),4.65 (± 0.48),4.00 (± 1.00)
Japan,mistral-large:123b,4.10 (± 0.77),4.21 (± 0.67),3.31 (± 0.73),4.05 (± 0.60),3.99 (± 0.62),3.52 (± 0.77)
Japan,qwen2.5:7b,3.57 (± 0.58),4.14 (± 0.69),2.98 (± 0.63),3.37 (± 0.81),3.70 (± 0.68),3.20 (± 0.85)
Kenya,llama3.1:8b,4.29 (± 0.81),4.87 (± 0.38),3.40 (± 1.35),4.69 (± 0.52),4.43 (± 0.95),3.89 (± 1.21)
Kenya,mistral:7b,2.02 (± 1.67),1.59 (± 1.41),2.46 (± 1.71),3.15 (± 1.59),2.35 (± 1.74),1.73 (± 1.42)
Kenya,qwen2.5:72b,4.03 (± 0.28),4.66 (± 0.48),3.20 (± 0.43),4.26 (± 0.44),4.12 (± 0.34),3.44 (± 0.75)
Kenya,llama3.3:70b,4.49 (± 0.50),5.00 (± 0.00),2.69 (± 0.94),4.84 (± 0.37),4.65 (± 0.48),3.91 (± 1.01)
Kenya,mistral-large:123b,4.03 (± 0.63),4.39 (± 0.66),3.59 (± 0.72),4.25 (± 0.64),4.16 (± 0.60),3.78 (± 0.74)
Kenya,qwen2.5:7b,3.83 (± 0.45),4.38 (± 0.68),3.15 (± 0.68),3.75 (± 0.58),3.93 (± 0.48),3.41 (± 0.92)
Mexico,llama3.1:8b,4.02 (± 1.13),4.88 (± 0.35),3.41 (± 1.38),4.65 (± 0.56),4.35 (± 1.08),3.68 (± 1.41)
Mexico,mistral:7b,1.54 (± 1.28),1.69 (± 1.35),1.65 (± 1.11),2.72 (± 1.74),1.43 (± 1.14),2.38 (± 1.86)
Mexico,qwen2.5:72b,4.11 (± 0.43),4.62 (± 0.49),3.24 (± 0.45),4.33 (± 0.47),4.14 (± 0.37),3.49 (± 0.75)
Mexico,llama3.3:70b,4.63 (± 0.48),5.00 (± 0.00),3.02 (± 1.01),4.84 (± 0.37),4.67 (± 0.47),3.47 (± 0.97)
Mexico,mistral-large:123b,4.02 (± 0.77),4.39 (± 0.72),3.63 (± 0.82),4.27 (± 0.64),4.06 (± 0.72),3.71 (± 0.74)
Mexico,qwen2.5:7b,3.53 (± 0.58),4.23 (± 0.72),2.93 (± 0.63),3.47 (± 0.73),3.62 (± 0.74),3.24 (± 0.83)
Morocco,llama3.1:8b,4.28 (± 0.99),4.88 (± 0.35),3.36 (± 1.30),4.55 (± 0.65),4.30 (± 1.09),3.91 (± 1.14)
Morocco,mistral:7b,2.10 (± 1.61),2.00 (± 1.45),2.69 (± 1.71),2.97 (± 1.74),1.84 (± 1.59),2.54 (± 1.72)
Morocco,qwen2.5:72b,4.28 (± 0.48),4.74 (± 0.44),3.19 (± 0.40),4.40 (± 0.50),4.16 (± 0.37),3.67 (± 0.78)
Morocco,llama3.3:70b,4.55 (± 0.50),5.00 (± 0.00),2.68 (± 0.94),4.84 (± 0.37),4.66 (± 0.48),3.99 (± 1.00)
Morocco,mistral-large:123b,4.12 (± 0.69),4.35 (± 0.65),3.55 (± 0.74),4.30 (± 0.60),4.07 (± 0.64),3.90 (± 0.80)
Morocco,qwen2.5:7b,3.78 (± 0.45),4.10 (± 0.50),2.96 (± 0.66),3.54 (± 0.63),3.73 (± 0.57),3.22 (± 0.87)
New Zealand,llama3.1:8b,3.80 (± 1.24),4.85 (± 0.39),3.43 (± 1.25),4.64 (± 0.62),4.37 (± 1.00),3.50 (± 1.42)
New Zealand,mistral:7b,2.58 (± 1.78),2.92 (± 1.75),3.05 (± 1.75),3.57 (± 1.61),2.19 (± 1.73),2.57 (± 1.72)
New Zealand,qwen2.5:72b,3.85 (± 0.37),4.65 (± 0.48),3.24 (± 0.45),4.08 (± 0.28),4.04 (± 0.21),3.21 (± 0.88)
New Zealand,llama3.3:70b,4.17 (± 0.38),5.00 (± 0.00),3.15 (± 0.98),4.91 (± 0.29),4.62 (± 0.49),3.03 (± 1.05)
New Zealand,mistral-large:123b,3.71 (± 0.59),4.23 (± 0.61),3.34 (± 0.76),3.83 (± 0.65),4.05 (± 0.56),3.30 (± 0.78)
New Zealand,qwen2.5:7b,3.51 (± 0.53),4.18 (± 0.64),2.99 (± 0.71),3.40 (± 0.57),3.90 (± 0.54),3.28 (± 0.83)
Nigeria,llama3.1:8b,4.26 (± 0.80),4.82 (± 0.44),3.29 (± 1.35),4.60 (± 0.57),4.43 (± 0.92),3.90 (± 1.26)
Nigeria,mistral:7b,2.47 (± 1.82),2.06 (± 1.67),2.92 (± 1.86),3.31 (± 1.80),2.34 (± 1.82),2.41 (± 1.63)
Nigeria,qwen2.5:72b,4.19 (± 0.41),4.62 (± 0.49),3.19 (± 0.42),4.23 (± 0.45),4.13 (± 0.36),3.49 (± 0.81)
Nigeria,llama3.3:70b,4.50 (± 0.50),5.00 (± 0.00),2.70 (± 0.95),4.84 (± 0.37),4.66 (± 0.47),3.97 (± 1.00)
Nigeria,mistral-large:123b,4.22 (± 0.69),4.42 (± 0.60),3.59 (± 0.75),4.31 (± 0.65),4.13 (± 0.57),3.80 (± 0.79)
Nigeria,qwen2.5:7b,3.76 (± 0.49),4.20 (± 0.61),3.08 (± 0.67),3.65 (± 0.59),3.92 (± 0.52),3.28 (± 0.76)
Peru,llama3.1:8b,4.15 (± 1.08),4.83 (± 0.40),3.34 (± 1.29),4.62 (± 0.56),4.42 (± 0.98),3.84 (± 1.34)
Peru,mistral:7b,1.96 (± 1.60),2.08 (± 1.62),2.33 (± 1.64),3.12 (± 1.58),1.90 (± 1.63),1.55 (± 1.21)
Peru,qwen2.5:72b,4.15 (± 0.43),4.68 (± 0.47),3.25 (± 0.46),4.30 (± 0.46),4.17 (± 0.37),3.48 (± 0.80)
Peru,llama3.3:70b,4.50 (± 0.50),5.00 (± 0.00),2.97 (± 0.99),4.84 (± 0.37),4.66 (± 0.48),3.72 (± 1.17)
Peru,mistral-large:123b,4.03 (± 0.74),4.37 (± 0.67),3.70 (± 0.74),4.26 (± 0.63),3.98 (± 0.70),3.72 (± 0.69)
Peru,qwen2.5:7b,3.41 (± 0.51),4.21 (± 0.75),3.06 (± 0.66),3.34 (± 0.56),3.65 (± 0.64),3.19 (± 0.85)
Russia,llama3.1:8b,4.35 (± 0.84),4.76 (± 0.53),3.30 (± 1.38),4.60 (± 0.61),4.28 (± 1.05),3.64 (± 1.40)
Russia,mistral:7b,2.19 (± 1.69),2.06 (± 1.63),2.82 (± 1.72),2.80 (± 1.76),1.52 (± 1.23),1.61 (± 1.33)
Russia,qwen2.5:72b,4.23 (± 0.42),4.58 (± 0.49),3.14 (± 0.45),4.54 (± 0.50),4.23 (± 0.42),3.36 (± 0.84)
