segment,id,model,persona,response,dimension
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,3.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,4.0,harm
agreement,1,llama3.1:8b,conservative,5.0,harm
agreement,1,llama3.1:8b,conservative,3.0,harm
