segment,id,model,persona,dimension,response
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,2.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,2.0
descriptiveness,1,llama3.1:8b,base,affiliative,2.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,2.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,4.0
descriptiveness,1,llama3.1:8b,base,affiliative,3.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
descriptiveness,1,llama3.1:8b,base,affiliative,5.0
