persona,model,authority,catch,fairness,harm,ingroup,purity
base,llama3.1:8b,3.25 (± 1.76),2.65 (± 2.40),4.41 (± 0.90),4.08 (± 1.28),3.56 (± 1.46),3.84 (± 1.39)
base,llama2:70b,3.13 (± 1.14),3.06 (± 1.96),3.81 (± 0.47),3.92 (± 0.74),3.81 (± 0.40),3.41 (± 1.14)
base,llama3:70b,3.65 (± 1.08),2.50 (± 2.51),4.83 (± 0.38),4.70 (± 0.46),3.56 (± 1.01),3.69 (± 0.91)
base,llama3.1:70b,3.86 (± 1.27),2.51 (± 2.50),4.89 (± 0.36),4.80 (± 0.40),3.88 (± 1.24),4.04 (± 1.37)
base,mistral:7b,2.87 (± 0.37),3.00 (± 2.01),4.10 (± 0.94),3.56 (± 1.57),3.18 (± 1.15),3.02 (± 1.75)
base,mixtral:8x22b,3.68 (± 1.32),3.00 (± 2.01),4.51 (± 0.50),4.34 (± 0.75),3.45 (± 0.99),2.92 (± 1.40)
base,mixtral:8x7b,4.14 (± 0.90),3.00 (± 2.01),4.52 (± 0.52),4.15 (± 0.90),3.34 (± 0.75),3.81 (± 1.41)
base,phi3:14b,4.00 (± 0.89),2.50 (± 2.51),4.77 (± 0.43),4.61 (± 0.74),3.98 (± 0.92),3.46 (± 1.84)
base,gemma:7b,3.37 (± 0.98),3.97 (± 1.06),4.28 (± 0.73),4.33 (± 0.75),3.80 (± 1.03),4.25 (± 0.57)
base,gemma2:27b,2.78 (± 0.78),2.50 (± 2.51),4.34 (± 0.75),4.27 (± 0.56),3.23 (± 0.80),3.69 (± 1.00)
base,qwen:72b,4.48 (± 0.68),2.50 (± 2.51),4.89 (± 0.31),4.83 (± 0.40),4.66 (± 0.55),4.74 (± 0.56)
base,qwen2:72b,3.81 (± 0.79),2.50 (± 2.51),4.96 (± 0.20),4.84 (± 0.36),4.05 (± 1.05),3.97 (± 1.26)
